==============================================
        支撑轴力迭代中间数据
        导出时间：2026/9/7 16:03:24
==============================================


LC  Iter   Obj(mm)     F1 (N)        F2 (N)        F3 (N)        F4 (N)        F5 (N)        F6 (N)      maxM (N*m)    minM (N*m)     maxQ (N)      minQ (N)
 7    95    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7    96    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7    97    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7    98    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7    99    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7   100    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7   101    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7   102    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7   103    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7   104    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7   105    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7   106    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7   107    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7   108    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
